mydate,count
29/07/06,1497
30/07/06,1391
31/07/06,1412
01/08/06,1845
02/08/06,1498
03/08/06,1570
04/08/06,1615
05/08/06,1567
06/08/06,1359
07/08/06,1587
08/08/06,1636
09/08/06,1696
10/08/06,1614
11/08/06,1607
12/08/06,1524
13/08/06,1391
14/08/06,1536
15/08/06,1621
16/08/06,1628
17/08/06,1567
18/08/06,1596
19/08/06,1420
20/08/06,1544
21/08/06,1511
22/08/06,1486
23/08/06,1535
24/08/06,1552
25/08/06,1529
26/08/06,1413
27/08/06,1204
28/08/06,1375
29/08/06,1275
30/08/06,1542
31/08/06,1452
01/09/06,1842
02/09/06,1245
03/09/06,1322
04/09/06,1420
05/09/06,1434
06/09/06,1513
07/09/06,1534
08/09/06,1674
09/09/06,1493
10/09/06,1387
11/09/06,1462
12/09/06,1388
13/09/06,1580
14/09/06,1547
15/09/06,1572
16/09/06,1443
17/09/06,1356
18/09/06,1395
19/09/06,1492
20/09/06,1717
21/09/06,1563
22/09/06,1643
23/09/06,1504
24/09/06,1477
25/09/06,1612
26/09/06,1615
27/09/06,1574
28/09/06,1676
29/09/06,1655
30/09/06,1528
01/10/06,1690
02/10/06,1540
03/10/06,1573
04/10/06,1640
05/10/06,1521
06/10/06,1751
07/10/06,1463
08/10/06,1348
09/10/06,1393
10/10/06,1625
11/10/06,1376
12/10/06,1649
13/10/06,1593
14/10/06,1409
15/10/06,1367
16/10/06,1439
17/10/06,1369
18/10/06,1613
19/10/06,1565
20/10/06,1691
21/10/06,1485
22/10/06,1358
23/10/06,1443
24/10/06,1452
25/10/06,1529
26/10/06,1495
27/10/06,1658
28/10/06,1410
29/10/06,1329
30/10/06,1428
31/10/06,1668
01/11/06,2016
02/11/06,1460
03/11/06,1583
04/11/06,1359
05/11/06,1216
06/11/06,1478
07/11/06,1308
08/11/06,1325
09/11/06,1597
10/11/06,1687
11/11/06,1500
12/11/06,1278
13/11/06,1409
14/11/06,1484
15/11/06,1636
16/11/06,1450
17/11/06,1622
18/11/06,1385
19/11/06,1209
20/11/06,1438
21/11/06,1478
22/11/06,1468
23/11/06,971
24/11/06,1391
25/11/06,1430
26/11/06,1214
27/11/06,1421
28/11/06,1480
29/11/06,1396
30/11/06,1609
01/12/06,1845
02/12/06,1467
03/12/06,1254
04/12/06,1362
05/12/06,1443
06/12/06,1548
07/12/06,1431
08/12/06,1472
09/12/06,1353
10/12/06,1306
11/12/06,1452
12/12/06,1618
13/12/06,1431
14/12/06,1422
15/12/06,1682
16/12/06,1349
17/12/06,1237
18/12/06,1348
19/12/06,1424
20/12/06,1566
21/12/06,1533
22/12/06,1577
23/12/06,1388
24/12/06,1082
25/12/06,897
26/12/06,1254
27/12/06,1335
28/12/06,1383
29/12/06,1402
30/12/06,1280
31/12/06,1152
01/01/07,2259
02/01/07,1577
03/01/07,1589
04/01/07,1561
05/01/07,1719
06/01/07,1468
07/01/07,1303
08/01/07,1421
09/01/07,1390
10/01/07,1516
11/01/07,1551
12/01/07,1647
13/01/07,1437
14/01/07,1324
15/01/07,1355
16/01/07,1461
17/01/07,1379
18/01/07,1471
19/01/07,1566
20/01/07,1410
21/01/07,1169
22/01/07,1304
23/01/07,1470
24/01/07,1491
25/01/07,1346
26/01/07,1314
27/01/07,1446
28/01/07,1274
29/01/07,1205
30/01/07,1329
31/01/07,1356
01/02/07,1623
02/02/07,1618
03/02/07,1285
04/02/07,1073
05/02/07,1149
06/02/07,1233
07/02/07,1405
08/02/07,1403
09/02/07,1428
10/02/07,1374
11/02/07,1114
12/02/07,1303
13/02/07,1328
14/02/07,1039
15/02/07,1238
16/02/07,1387
17/02/07,1279
18/02/07,1146
19/02/07,1098
20/02/07,1433
21/02/07,1447
22/02/07,1304
23/02/07,1394
24/02/07,1367
25/02/07,1181
26/02/07,1278
27/02/07,1482
28/02/07,1505
01/03/07,1756
02/03/07,1514
03/03/07,1467
04/03/07,1241
05/03/07,1282
06/03/07,1184
07/03/07,1393
08/03/07,1377
09/03/07,1555
10/03/07,1465
11/03/07,1229
12/03/07,1422
13/03/07,1529
14/03/07,1591
15/03/07,1526
16/03/07,1214
17/03/07,1006
18/03/07,1151
19/03/07,1255
20/03/07,1525
21/03/07,1396
22/03/07,1580
23/03/07,1575
24/03/07,1396
25/03/07,1303
26/03/07,1432
27/03/07,1470
28/03/07,1534
29/03/07,1404
30/03/07,1564
31/03/07,1348
01/04/07,1543
02/04/07,1333
03/04/07,1306
04/04/07,1264
05/04/07,1367
06/04/07,1368
07/04/07,1407
08/04/07,1052
09/04/07,1196
10/04/07,1389
11/04/07,1460
12/04/07,1316
13/04/07,1595
14/04/07,1435
15/04/07,1109
16/04/07,1298
17/04/07,1558
18/04/07,1535
19/04/07,1540
20/04/07,1715
21/04/07,1411
22/04/07,1321
23/04/07,1447
24/04/07,1578
25/04/07,1531
26/04/07,1557
27/04/07,1546
28/04/07,1544
29/04/07,1309
30/04/07,1498
01/05/07,1867
02/05/07,1578
03/05/07,1584
04/05/07,1594
05/05/07,1516
06/05/07,1310
07/05/07,1495
08/05/07,1416
09/05/07,1586
10/05/07,1610
11/05/07,1620
12/05/07,1590
13/05/07,1265
14/05/07,1528
15/05/07,1699
16/05/07,1592
17/05/07,1624
18/05/07,1662
19/05/07,1321
20/05/07,1392
21/05/07,1442
22/05/07,1605
23/05/07,1617
24/05/07,1575
25/05/07,1638
26/05/07,1457
27/05/07,1295
28/05/07,1319
29/05/07,1661
30/05/07,1600
31/05/07,1563
01/06/07,1958
02/06/07,1547
03/06/07,1271
04/06/07,1345
05/06/07,1721
06/06/07,1645
07/06/07,1514
08/06/07,1644
09/06/07,1425
10/06/07,1426
11/06/07,1496
12/06/07,1601
13/06/07,1628
14/06/07,1599
15/06/07,1697
16/06/07,1458
17/06/07,1358
18/06/07,1529
19/06/07,1560
20/06/07,1626
21/06/07,1530
22/06/07,1540
23/06/07,1641
24/06/07,1425
25/06/07,1503
26/06/07,1542
27/06/07,1569
28/06/07,1457
29/06/07,1559
30/06/07,1482
01/07/07,1698
02/07/07,1407
03/07/07,1602
04/07/07,1445
05/07/07,1536
06/07/07,1527
07/07/07,1493
08/07/07,1337
09/07/07,1354
10/07/07,1578
11/07/07,1516
12/07/07,1595
13/07/07,1623
14/07/07,1531
15/07/07,1384
16/07/07,1480
17/07/07,1538
18/07/07,1485
19/07/07,1481
20/07/07,1711
21/07/07,1583
22/07/07,1432
23/07/07,1302
24/07/07,1648
25/07/07,1661
26/07/07,1576
27/07/07,1671
28/07/07,1578
29/07/07,1366
30/07/07,1495
31/07/07,1664
01/08/07,2053
02/08/07,1618
03/08/07,1687
04/08/07,1469
05/08/07,1414
06/08/07,1432
07/08/07,1660
08/08/07,1464
09/08/07,1592
10/08/07,1556
11/08/07,1549
12/08/07,1463
13/08/07,1472
14/08/07,1560
15/08/07,1681
16/08/07,1519
17/08/07,1587
18/08/07,1464
19/08/07,1316
20/08/07,1412
21/08/07,1289
22/08/07,1509
23/08/07,1563
24/08/07,1622
25/08/07,1538
26/08/07,1419
27/08/07,1498
28/08/07,1528
29/08/07,1499
30/08/07,1575
31/08/07,1626
01/09/07,1821
02/09/07,1301
03/09/07,1327
04/09/07,1584
05/09/07,1583
06/09/07,1585
07/09/07,1743
08/09/07,1618
09/09/07,1473
10/09/07,1524
11/09/07,1471
12/09/07,1731
13/09/07,1521
14/09/07,1657
15/09/07,1623
16/09/07,1408
17/09/07,1403
18/09/07,1477
19/09/07,1595
20/09/07,1651
21/09/07,1760
22/09/07,1565
23/09/07,1486
24/09/07,1491
25/09/07,1575
26/09/07,1665
27/09/07,1663
28/09/07,1751
29/09/07,1592
30/09/07,1411
01/10/07,1809
02/10/07,1573
03/10/07,1625
04/10/07,1652
05/10/07,1784
06/10/07,1543
07/10/07,1442
08/10/07,1262
09/10/07,1603
10/10/07,1658
11/10/07,1469
12/10/07,1654
13/10/07,1513
14/10/07,1316
15/10/07,1441
16/10/07,1531
17/10/07,1643
18/10/07,1659
19/10/07,1631
20/10/07,1691
21/10/07,1461
22/10/07,1512
23/10/07,1751
24/10/07,1490
25/10/07,1580
26/10/07,1563
27/10/07,1463
28/10/07,1292
29/10/07,1309
30/10/07,1498
31/10/07,1656
01/11/07,1905
02/11/07,1626
03/11/07,1465
04/11/07,1326
05/11/07,1427
06/11/07,1342
07/11/07,1433
08/11/07,1475
09/11/07,1561
10/11/07,1436
11/11/07,1284
12/11/07,1241
13/11/07,1530
14/11/07,1480
15/11/07,1527
16/11/07,1549
17/11/07,1420
18/11/07,1330
19/11/07,1277
20/11/07,1396
21/11/07,1590
22/11/07,975
23/11/07,1383
24/11/07,1326
25/11/07,1242
26/11/07,1297
27/11/07,1514
28/11/07,1448
29/11/07,1413
30/11/07,1612
01/12/07,1605
02/12/07,1089
03/12/07,1387
04/12/07,1356
05/12/07,1381
06/12/07,1432
07/12/07,1595
08/12/07,1386
09/12/07,1206
10/12/07,1371
11/12/07,1469
12/12/07,1513
13/12/07,1275
14/12/07,1530
15/12/07,1552
16/12/07,1069
17/12/07,1266
18/12/07,1496
19/12/07,1375
20/12/07,1554
21/12/07,1647
22/12/07,1373
23/12/07,1271
24/12/07,1240
25/12/07,974
26/12/07,1223
27/12/07,1341
28/12/07,1360
29/12/07,1376
30/12/07,1218
31/12/07,1230
01/01/08,2273
02/01/08,1255
03/01/08,1316
04/01/08,1575
05/01/08,1535
06/01/08,1280
07/01/08,1447
08/01/08,1589
09/01/08,1497
10/01/08,1686
11/01/08,1663
12/01/08,1516
13/01/08,1347
14/01/08,1395
15/01/08,1483
16/01/08,1494
17/01/08,1526
18/01/08,1674
19/01/08,1569
20/01/08,1227
21/01/08,1196
22/01/08,1426
23/01/08,1449
24/01/08,1435
25/01/08,1513
26/01/08,1395
27/01/08,1225
28/01/08,1244
29/01/08,1338
30/01/08,1408
31/01/08,1414
01/02/08,1792
02/02/08,1535
03/02/08,1368
04/02/08,1292
05/02/08,1448
06/02/08,1537
07/02/08,1470
08/02/08,1681
09/02/08,1424
10/02/08,1138
11/02/08,1131
12/02/08,1170
13/02/08,1220
14/02/08,1367
15/02/08,1734
16/02/08,1417
17/02/08,1153
18/02/08,1198
19/02/08,1385
20/02/08,1393
21/02/08,1354
22/02/08,1236
23/02/08,1344
24/02/08,1122
25/02/08,1269
26/02/08,1297
27/02/08,1461
28/02/08,1375
29/02/08,1431
01/03/08,1679
02/03/08,1256
03/03/08,1357
04/03/08,1427
05/03/08,1477
06/03/08,1516
07/03/08,1612
08/03/08,1364
09/03/08,1222
10/03/08,1399
11/03/08,1440
12/03/08,1528
13/03/08,1476
14/03/08,1597
15/03/08,1493
16/03/08,1224
17/03/08,1326
18/03/08,1414
19/03/08,1342
20/03/08,1592
21/03/08,1503
22/03/08,1459
23/03/08,1172
24/03/08,1292
25/03/08,1492
26/03/08,1509
27/03/08,1502
28/03/08,1608
29/03/08,1411
30/03/08,1173
31/03/08,1324
01/04/08,1791
02/04/08,1552
03/04/08,1470
04/04/08,1575
05/04/08,1532
06/04/08,1264
07/04/08,1375
08/04/08,1427
09/04/08,1482
10/04/08,1532
11/04/08,1671
12/04/08,1536
13/04/08,1309
14/04/08,1359
15/04/08,1534
16/04/08,1526
17/04/08,1437
18/04/08,1613
19/04/08,1418
20/04/08,1258
21/04/08,1270
22/04/08,1405
23/04/08,1443
24/04/08,1429
25/04/08,1437
26/04/08,1400
27/04/08,1149
28/04/08,1165
29/04/08,1303
30/04/08,1425
01/05/08,1765
02/05/08,1573
03/05/08,1432
04/05/08,1238
05/05/08,1387
06/05/08,1584
07/05/08,1491
08/05/08,1571
09/05/08,1482
10/05/08,1441
11/05/08,1231
12/05/08,1277
13/05/08,1525
14/05/08,1575
15/05/08,1565
16/05/08,1472
17/05/08,1461
18/05/08,1270
19/05/08,1261
20/05/08,1395
21/05/08,1534
22/05/08,1493
23/05/08,1677
24/05/08,1394
25/05/08,1286
26/05/08,1249
27/05/08,1583
28/05/08,1568
29/05/08,1464
30/05/08,1667
31/05/08,1352
01/06/08,1734
02/06/08,1457
03/06/08,1642
04/06/08,1529
05/06/08,1530
06/06/08,1720
07/06/08,1463
08/06/08,1372
09/06/08,1332
10/06/08,1514
11/06/08,1554
12/06/08,1581
13/06/08,1752
14/06/08,1469
15/06/08,1299
16/06/08,1502
17/06/08,1542
18/06/08,1513
19/06/08,1532
20/06/08,1797
21/06/08,1553
22/06/08,1348
23/06/08,1353
24/06/08,1617
25/06/08,1580
26/06/08,1564
27/06/08,1577
28/06/08,1483
29/06/08,1322
30/06/08,1363
01/07/08,1879
02/07/08,1523
03/07/08,1567
04/07/08,1309
05/07/08,1458
06/07/08,1251
07/07/08,1333
08/07/08,1413
09/07/08,1483
10/07/08,1525
11/07/08,1706
12/07/08,1460
13/07/08,1315
14/07/08,1401
15/07/08,1510
16/07/08,1481
17/07/08,1600
18/07/08,1625
19/07/08,1487
20/07/08,1402
21/07/08,1398
22/07/08,1566
23/07/08,1675
24/07/08,1523
25/07/08,1655
26/07/08,1484
27/07/08,1354
28/07/08,1497
29/07/08,1647
30/07/08,1562
31/07/08,1494
01/08/08,1968
02/08/08,1586
03/08/08,1454
04/08/08,1448
05/08/08,1540
06/08/08,1526
07/08/08,1565
08/08/08,1662
09/08/08,1516
10/08/08,1405
11/08/08,1389
12/08/08,1537
13/08/08,1554
14/08/08,1445
15/08/08,1614
16/08/08,1488
17/08/08,1486
18/08/08,1408
19/08/08,1562
20/08/08,1607
21/08/08,1489
22/08/08,1601
23/08/08,1485
24/08/08,1409
25/08/08,1414
26/08/08,1493
27/08/08,1470
28/08/08,1595
29/08/08,1498
30/08/08,1528
31/08/08,1355
01/09/08,1591
02/09/08,1515
03/09/08,1492
04/09/08,1495
05/09/08,1755
06/09/08,1314
07/09/08,1323
08/09/08,1461
09/09/08,1437
10/09/08,1521
11/09/08,1520
12/09/08,1602
13/09/08,1557
14/09/08,1438
15/09/08,1559
16/09/08,1487
17/09/08,1538
18/09/08,1622
19/09/08,1668
20/09/08,1592
21/09/08,1327
22/09/08,1366
23/09/08,1461
24/09/08,1536
25/09/08,1487
26/09/08,1473
27/09/08,1436
28/09/08,1377
29/09/08,1433
30/09/08,1429
01/10/08,1746
02/10/08,1536
03/10/08,1638
04/10/08,1467
05/10/08,1254
06/10/08,1330
07/10/08,1414
08/10/08,1524
09/10/08,1475
10/10/08,1769
11/10/08,1470
12/10/08,1337
13/10/08,1265
14/10/08,1555
15/10/08,1637
16/10/08,1517
17/10/08,1660
18/10/08,1489
19/10/08,1229
20/10/08,1429
21/10/08,1472
22/10/08,1364
23/10/08,1405
24/10/08,1691
25/10/08,1450
26/10/08,1233
27/10/08,1362
28/10/08,1176
29/10/08,1416
30/10/08,1471
31/10/08,1606
01/11/08,1846
02/11/08,1216
03/11/08,1304
04/11/08,1212
05/11/08,1443
06/11/08,1459
07/11/08,1635
08/11/08,1451
09/11/08,1281
10/11/08,1320
11/11/08,1332
12/11/08,1440
13/11/08,1326
14/11/08,1588
15/11/08,1426
16/11/08,1181
17/11/08,1294
18/11/08,1360
19/11/08,1429
20/11/08,1506
21/11/08,1591
22/11/08,1311
23/11/08,1083
24/11/08,1384
25/11/08,1467
26/11/08,1435
27/11/08,901
28/11/08,1452
29/11/08,1285
30/11/08,1143
01/12/08,1665
02/12/08,1494
03/12/08,1408
04/12/08,1347
05/12/08,1582
06/12/08,1328
07/12/08,1091
08/12/08,1220
09/12/08,1418
10/12/08,1504
11/12/08,1279
12/12/08,1543
13/12/08,1398
14/12/08,1165
15/12/08,1328
16/12/08,1347
17/12/08,1392
18/12/08,1478
19/12/08,1184
20/12/08,1287
21/12/08,1094
22/12/08,1115
23/12/08,1307
24/12/08,1059
25/12/08,879
26/12/08,1297
27/12/08,1328
28/12/08,1253
29/12/08,1245
30/12/08,1224
31/12/08,1174
01/01/09,2036
02/01/09,1339
03/01/09,1376
04/01/09,1081
05/01/09,1398
06/01/09,1286
07/01/09,1299
08/01/09,1436
09/01/09,1575
10/01/09,1212
11/01/09,995
12/01/09,1306
13/01/09,1485
14/01/09,1369
15/01/09,1331
16/01/09,1330
17/01/09,1304
18/01/09,1051
19/01/09,1034
20/01/09,1371
21/01/09,1352
22/01/09,1368
23/01/09,1604
24/01/09,1353
25/01/09,1054
26/01/09,1155
27/01/09,1321
28/01/09,1167
29/01/09,1364
30/01/09,1443
31/01/09,1286
01/02/09,1453
02/02/09,1313
03/02/09,1115
04/02/09,1234
05/02/09,1224
06/02/09,1401
07/02/09,1319
08/02/09,1132
09/02/09,1231
10/02/09,1500
11/02/09,1503
12/02/09,1484
13/02/09,1563
14/02/09,1305
15/02/09,1219
16/02/09,1163
17/02/09,1353
18/02/09,1274
19/02/09,1275
20/02/09,1455
21/02/09,1398
22/02/09,1084
23/02/09,1124
24/02/09,1354
25/02/09,1406
26/02/09,1538
27/02/09,1589
28/02/09,1399
01/03/09,1398
02/03/09,877
03/03/09,1144
04/03/09,1303
05/03/09,1486
06/03/09,1557
07/03/09,1554
08/03/09,1212
09/03/09,1281
10/03/09,1500
11/03/09,1574
12/03/09,1432
13/03/09,1560
14/03/09,1424
15/03/09,1300
16/03/09,1301
17/03/09,1389
18/03/09,1505
19/03/09,1418
20/03/09,1520
21/03/09,1417
22/03/09,1228
23/03/09,1169
24/03/09,1414
25/03/09,1475
26/03/09,1308
27/03/09,1664
28/03/09,1410
29/03/09,1222
30/03/09,1333
31/03/09,1446
01/04/09,1758
02/04/09,1452
03/04/09,1464
04/04/09,1334
05/04/09,1240
06/04/09,1189
07/04/09,1396
08/04/09,1475
09/04/09,1466
10/04/09,1428
11/04/09,1256
12/04/09,1093
13/04/09,1172
14/04/09,1244
15/04/09,1321
16/04/09,1329
17/04/09,1480
18/04/09,1441
19/04/09,1131
20/04/09,1215
21/04/09,1417
22/04/09,1415
23/04/09,1452
24/04/09,1598
25/04/09,1412
26/04/09,1360
27/04/09,1345
28/04/09,1453
29/04/09,1555
30/04/09,1510
01/05/09,1866
02/05/09,1447
03/05/09,1139
04/05/09,1223
05/05/09,1447
06/05/09,1532
07/05/09,1367
08/05/09,1699
09/05/09,1498
10/05/09,1280
11/05/09,1399
12/05/09,1560
13/05/09,1596
14/05/09,1396
15/05/09,1672
16/05/09,1405
17/05/09,1234
18/05/09,1313
19/05/09,1333
20/05/09,1583
21/05/09,1471
22/05/09,1555
23/05/09,1461
24/05/09,1241
25/05/09,1299
26/05/09,1390
27/05/09,1369
28/05/09,1416
29/05/09,1561
30/05/09,1372
31/05/09,1249
01/06/09,1729
02/06/09,1513
03/06/09,1430
04/06/09,1279
05/06/09,1375
06/06/09,1378
07/06/09,1340
08/06/09,1420
09/06/09,1395
10/06/09,1527
11/06/09,1416
12/06/09,1555
13/06/09,1471
14/06/09,1334
15/06/09,1393
16/06/09,1510
17/06/09,1505
18/06/09,1254
19/06/09,1574
20/06/09,1457
21/06/09,1287
22/06/09,1441
23/06/09,1537
24/06/09,1449
25/06/09,1506
26/06/09,1533
27/06/09,1484
28/06/09,1428
29/06/09,1359
30/06/09,1476
01/07/09,1789
02/07/09,1457
03/07/09,1539
04/07/09,1525
05/07/09,1316
06/07/09,1329
07/07/09,1420
08/07/09,1470
09/07/09,1532
10/07/09,1505
11/07/09,1460
12/07/09,1244
13/07/09,1314
14/07/09,1466
15/07/09,1567
16/07/09,1505
17/07/09,1552
18/07/09,1548
